seed 11 gamma 0.93
 d | L2 rel err | Hausdorff(px@1024) | coast components
  1 |     0.8223 |        574.0 | 1
  2 |     0.7270 |        740.3 | 1
  3 |     0.6883 |        718.0 | 1
  4 |     0.6644 |        364.7 | 3
  5 |     0.5547 |        703.4 | 2
  6 |     0.4886 |        381.8 | 3
  7 |     0.4782 |        334.4 | 3
  8 |     0.4434 |        614.6 | 2
  9 |     0.3047 |        315.4 | 3
 10 |     0.2360 |         73.2 | 4
 11 |     0.2120 |         56.9 | 4
 12 |     0.1632 |         41.0 | 5
 13 |     0.1333 |         28.0 | 4
 14 |     0.1169 |         27.0 | 4
 15 |     0.0697 |         34.1 | 5
 16 |     0.0000 |          0.0 | 4
saved art_3bmq/proto/refineC_s11.png
