seed 57 gamma 0.93
 d | L2 rel err | Hausdorff(px@5120) | coast components
  1 |     0.9831 |       3142.2 | 1
  2 |     0.6813 |       1659.8 | 1
  3 |     0.5574 |       1850.4 | 1
  4 |     0.5019 |        982.7 | 2
  5 |     0.3937 |        875.5 | 3
  6 |     0.3251 |        774.0 | 4
  7 |     0.2899 |        812.3 | 3
  8 |     0.2608 |        716.4 | 3
  9 |     0.2295 |        707.9 | 4
 10 |     0.1981 |        540.9 | 4
 11 |     0.1728 |        540.0 | 5
 12 |     0.1464 |        600.2 | 5
 13 |     0.1245 |        800.0 | 4
 14 |     0.0907 |        558.6 | 6
 15 |     0.0763 |        858.0 | 5
 16 |     0.0000 |          0.0 | 7
saved art_3bmq/the_coast_of_the_real.png
