range [160000000000,400000000000) sqrt=632455 primes=51526
seg 254/57222  24s  ETA 90 min
seg 766/57222  70s  ETA 86 min
seg 1278/57222  116s  ETA 84 min
seg 1790/57222  163s  ETA 84 min
seg 2302/57222  209s  ETA 83 min
seg 2814/57222  254s  ETA 82 min
seg 3326/57222  300s  ETA 81 min
seg 3838/57222  348s  ETA 81 min
seg 4350/57222  397s  ETA 80 min
seg 4862/57222  446s  ETA 80 min
seg 5374/57222  492s  ETA 79 min
seg 5886/57222  536s  ETA 78 min
seg 6398/57222  578s  ETA 77 min
seg 6910/57222  624s  ETA 76 min
seg 7422/57222  675s  ETA 75 min
seg 7934/57222  729s  ETA 75 min
seg 8446/57222  771s  ETA 74 min
seg 8958/57222  820s  ETA 74 min
seg 9470/57222  867s  ETA 73 min
seg 9982/57222  949s  ETA 75 min
seg 10494/57222  1080s  ETA 80 min
seg 11006/57222  1222s  ETA 86 min
seg 11518/57222  1322s  ETA 87 min
seg 12030/57222  1385s  ETA 87 min
seg 12542/57222  1452s  ETA 86 min
seg 13054/57222  1513s  ETA 85 min
seg 13566/57222  1575s  ETA 84 min
seg 14078/57222  1704s  ETA 87 min
seg 14590/57222  1781s  ETA 87 min
seg 15102/57222  1840s  ETA 86 min
seg 15614/57222  1906s  ETA 85 min
seg 16126/57222  2039s  ETA 87 min
seg 16638/57222  2120s  ETA 86 min
seg 17150/57222  2182s  ETA 85 min
