X=32000000000 sqrt=178885 primes=16236
seg 0/7630  4s
seg 128/7630  59s
seg 256/7630  112s
seg 384/7630  165s
seg 512/7630  218s
seg 640/7630  270s
seg 768/7630  326s
seg 896/7630  381s
seg 1024/7630  434s
seg 1152/7630  491s
seg 1280/7630  544s
seg 1408/7630  601s
seg 1536/7630  660s
seg 1664/7630  714s
seg 1792/7630  781s
seg 1920/7630  837s
seg 2048/7630  891s
seg 2176/7630  945s
seg 2304/7630  1000s
seg 2432/7630  1064s
seg 2560/7630  1143s
seg 2688/7630  1220s
seg 2816/7630  1296s
seg 2944/7630  1368s
seg 3072/7630  1444s
seg 3200/7630  1517s
seg 3328/7630  1590s
seg 3456/7630  1663s
seg 3584/7630  1727s
seg 3712/7630  1781s
seg 3840/7630  1836s
seg 3968/7630  1890s
seg 4096/7630  1939s
seg 4224/7630  1991s
seg 4352/7630  2042s
seg 4480/7630  2096s
seg 4608/7630  2157s
seg 4736/7630  2213s
seg 4864/7630  2271s
seg 4992/7630  2327s
seg 5120/7630  2378s
seg 5248/7630  2442s
seg 5376/7630  2494s
seg 5504/7630  2558s
seg 5632/7630  2618s
seg 5760/7630  2674s
seg 5888/7630  2725s
seg 6016/7630  2777s
seg 6144/7630  2829s
