range [20000000000,160000000000) sqrt=400000 primes=33860
seg 352/33379  59s  ETA 93 min
seg 864/33379  156s  ETA 98 min
seg 1376/33379  261s  ETA 101 min
seg 1888/33379  368s  ETA 102 min
seg 2400/33379  465s  ETA 100 min
seg 2912/33379  563s  ETA 98 min
seg 3424/33379  658s  ETA 96 min
seg 3936/33379  752s  ETA 94 min
seg 4448/33379  848s  ETA 92 min
seg 4960/33379  952s  ETA 91 min
seg 5472/33379  1052s  ETA 89 min
seg 5984/33379  1149s  ETA 88 min
seg 6496/33379  1256s  ETA 87 min
seg 7008/33379  1364s  ETA 86 min
seg 7520/33379  1457s  ETA 84 min
seg 8032/33379  1552s  ETA 82 min
