n=     8 trials= 60000 mu=2.9245 +- 0.0031 dist=[np.int64(101), np.int64(17204), np.int64(31871), np.int64(8957), np.int64(1699), np.int64(150), np.int64(17), np.int64(1), np.int64(0)]  (2s)
n=    12 trials= 60000 mu=3.4401 +- 0.0029 dist=[np.int64(0), np.int64(2850), np.int64(32836), np.int64(19812), np.int64(4092), np.int64(381), np.int64(28), np.int64(1), np.int64(0)]  (3s)
n=    16 trials= 60000 mu=3.7026 +- 0.0030 dist=[np.int64(0), np.int64(591), np.int64(24671), np.int64(27595), np.int64(6350), np.int64(722), np.int64(68), np.int64(2), np.int64(1)]  (4s)
n=    24 trials= 40000 mu=4.0053 +- 0.0036 dist=[np.int64(0), np.int64(33), np.int64(9156), np.int64(22476), np.int64(7345), np.int64(887), np.int64(99), np.int64(4), np.int64(0)]  (4s)
n=    32 trials= 40000 mu=4.1680 +- 0.0036 dist=[np.int64(0), np.int64(6), np.int64(5734), np.int64(23383), np.int64(9452), np.int64(1277), np.int64(132), np.int64(15), np.int64(1)]  (4s)
n=    48 trials= 30000 mu=4.3715 +- 0.0041 dist=[np.int64(0), np.int64(0), np.int64(2002), np.int64(16778), np.int64(9495), np.int64(1541), np.int64(168), np.int64(15), np.int64(1)]  (5s)
n=    64 trials= 30000 mu=4.4795 +- 0.0041 dist=[np.int64(0), np.int64(0), np.int64(1121), np.int64(15754), np.int64(11012), np.int64(1859), np.int64(240), np.int64(13), np.int64(1)]  (6s)
n=    96 trials= 20000 mu=4.6163 +- 0.0051 dist=[np.int64(0), np.int64(0), np.int64(328), np.int64(9171), np.int64(8590), np.int64(1683), np.int64(213), np.int64(15), np.int64(0)]  (8s)
n=   128 trials= 20000 mu=4.7055 +- 0.0051 dist=[np.int64(0), np.int64(0), np.int64(189), np.int64(8169), np.int64(9274), np.int64(2096), np.int64(256), np.int64(14), np.int64(2)]  (11s)
n=   192 trials= 12000 mu=4.8027 +- 0.0066 dist=[np.int64(0), np.int64(0), np.int64(46), np.int64(4172), np.int64(6115), np.int64(1463), np.int64(181), np.int64(21), np.int64(2)]  (12s)
n=   256 trials= 12000 mu=4.8788 +- 0.0067 dist=[np.int64(0), np.int64(0), np.int64(19), np.int64(3652), np.int64(6379), np.int64(1690), np.int64(235), np.int64(25), np.int64(0)]  (24s)
n=   384 trials=  8000 mu=4.9525 +- 0.0082 dist=[np.int64(0), np.int64(0), np.int64(7), np.int64(2089), np.int64(4402), np.int64(1299), np.int64(186), np.int64(16), np.int64(1)]  (27s)
n=   512 trials=  8000 mu=5.0057 +- 0.0082 dist=[np.int64(0), np.int64(0), np.int64(4), np.int64(1842), np.int64(4512), np.int64(1413), np.int64(205), np.int64(23), np.int64(1)]  (57s)
n=   768 trials=  5000 mu=5.0828 +- 0.0105 dist=[np.int64(0), np.int64(0), np.int64(0), np.int64(948), np.int64(2893), np.int64(986), np.int64(147), np.int64(22), np.int64(4)]  (78s)
n=  1024 trials=  5000 mu=5.1224 +- 0.0104 dist=[np.int64(0), np.int64(0), np.int64(0), np.int64(878), np.int64(2820), np.int64(1122), np.int64(172), np.int64(8), np.int64(0)]  (141s)
n=  1536 trials=  2500 mu=5.2140 +- 0.0149 dist=[np.int64(0), np.int64(0), np.int64(0), np.int64(350), np.int64(1383), np.int64(665), np.int64(88), np.int64(12), np.int64(2)]  (171s)
