primes 11078937 last 199999991 2.7s
1 None 0 std 13.7
2 2 311444 std 19.7
3 7 445615 std 34.2
4 69 165404 std 62.6
5 13 107863 std 117
6 47 30692 std 222
7 58 25255 std 426
8 9 11109 std 821
9 43 8823 std 1.59e+03
10 3553 2868 std 3.09e+03
11 100 1735 std 6.03e+03
12 7019 1009 std 1.18e+04
13 14082 393 std 2.31e+04
14 68097 219 std 4.52e+04
15 14526 93 std 8.88e+04
16 149677 38 std 1.75e+05
17 2697 29 std 3.44e+05
18 481054 10 std 6.77e+05
19 979719 11 std 1.34e+06
20 631894 6 std 2.64e+06
21 29811 2 std 5.2e+06
22 None 0 std 1.03e+07
23 None 0 std 2.03e+07
24 7510843 1 std 4.02e+07
25 None 0 std 7.96e+07
26 None 0 std 1.58e+08
27 None 0 std 3.12e+08
28 None 0 std 6.18e+08
29 None 0 std 1.23e+09
30 None 0 std 2.43e+09
31 None 0 std 4.82e+09
32 None 0 std 9.56e+09
33 None 0 std 1.9e+10
34 None 0 std 3.76e+10
35 None 0 std 7.47e+10
36 None 0 std 1.48e+11
37 None 0 std 2.95e+11
38 None 0 std 5.85e+11
39 None 0 std 1.16e+12
40 None 0 std 2.31e+12
41 None 0 std 4.59e+12
42 None 0 std 9.13e+12
43 None 0 std 1.81e+13
44 None 0 std 3.61e+13
45 None 0 std 7.18e+13
46 None 0 std 1.43e+14
47 None 0 std 2.84e+14
48 None 0 std 5.65e+14
49 None 0 std 1.12e+15
50 None 0 std 2.24e+15
51 None 0 std 4.45e+15
52 None 0 std 8.85e+15
53 None 0 std 1.76e+16
54 None 0 std 3.51e+16
55 None 0 std 6.98e+16
56 None 0 std 1.39e+17
57 None 0 std 2.77e+17
58 None 0 std 5.51e+17
59 None 0 std 1.1e+18
60 None 0 std 2.18e+18
61 None 0 std 4.02e+18
62 None 0 std 5.22e+18
63 None 0 std 5.33e+18
64 None 0 std 5.32e+18
done 6.2s
