primes 98222287 last 1999999973 37.5s
1 None 0 std 13.7
2 2 2490205 std 19.7
3 7 3461664 std 34.2
4 69 1304862 std 62.6
5 13 839092 std 117
6 47 241184 std 222
7 58 197638 std 426
8 9 86514 std 821
9 43 68233 std 1.59e+03
10 3553 22786 std 3.09e+03
11 100 13452 std 6.03e+03
12 7019 7729 std 1.18e+04
13 14082 3132 std 2.31e+04
14 68097 1696 std 4.52e+04
15 14526 791 std 8.88e+04
16 149677 411 std 1.75e+05
17 2697 211 std 3.44e+05
18 481054 81 std 6.77e+05
19 979719 59 std 1.34e+06
20 631894 28 std 2.64e+06
21 29811 14 std 5.2e+06
22 25340978 5 std 1.03e+07
23 50574254 2 std 2.03e+07
24 7510843 5 std 4.02e+07
25 None 0 std 7.96e+07
26 67248861 2 std 1.58e+08
27 None 0 std 3.12e+08
28 None 0 std 6.18e+08
29 None 0 std 1.23e+09
30 None 0 std 2.43e+09
31 None 0 std 4.82e+09
32 None 0 std 9.56e+09
33 None 0 std 1.9e+10
34 None 0 std 3.76e+10
35 None 0 std 7.47e+10
36 None 0 std 1.48e+11
37 None 0 std 2.95e+11
38 None 0 std 5.85e+11
39 None 0 std 1.16e+12
40 None 0 std 2.31e+12
done 82.0s
