range [2600000000000,2800000000000) sqrt=1673320 primes=126268
seg 144/47685  44s  ETA 242 min
seg 656/47685  201s  ETA 240 min
seg 1168/47685  357s  ETA 237 min
seg 1680/47685  516s  ETA 236 min
seg 2192/47685  677s  ETA 234 min
seg 2704/47685  837s  ETA 232 min
seg 3216/47685  999s  ETA 230 min
seg 3728/47685  1161s  ETA 228 min
seg 4240/47685  1318s  ETA 225 min
seg 4752/47685  1479s  ETA 223 min
seg 5264/47685  1640s  ETA 220 min
seg 5776/47685  1822s  ETA 220 min
seg 6288/47685  1987s  ETA 218 min
seg 6800/47685  2190s  ETA 219 min
seg 7312/47685  2366s  ETA 218 min
