range [2100243202048,2600000000000) sqrt=1612451 primes=122022
seg 0/119153  0s  ETA 368 min
seg 512/119153  31s  ETA 118 min
seg 1024/119153  61s  ETA 118 min
seg 1536/119153  92s  ETA 118 min
seg 2048/119153  122s  ETA 116 min
seg 2560/119153  153s  ETA 116 min
seg 3072/119153  184s  ETA 116 min
seg 3584/119153  215s  ETA 115 min
seg 4096/119153  246s  ETA 115 min
seg 4608/119153  277s  ETA 115 min
seg 5120/119153  308s  ETA 114 min
seg 5632/119153  339s  ETA 114 min
seg 6144/119153  370s  ETA 113 min
seg 6656/119153  401s  ETA 113 min
seg 7168/119153  432s  ETA 113 min
seg 7680/119153  463s  ETA 112 min
seg 8192/119153  494s  ETA 112 min
seg 8704/119153  525s  ETA 111 min
seg 9216/119153  555s  ETA 110 min
seg 9728/119153  586s  ETA 110 min
seg 10240/119153  616s  ETA 109 min
seg 10752/119153  647s  ETA 109 min
seg 11264/119153  678s  ETA 108 min
seg 11776/119153  708s  ETA 108 min
seg 12288/119153  739s  ETA 107 min
seg 12800/119153  768s  ETA 106 min
seg 13312/119153  798s  ETA 106 min
seg 13824/119153  828s  ETA 105 min
seg 14336/119153  858s  ETA 105 min
seg 14848/119153  889s  ETA 104 min
seg 15360/119153  919s  ETA 103 min
seg 15872/119153  952s  ETA 103 min
seg 16384/119153  987s  ETA 103 min
seg 16896/119153  1019s  ETA 103 min
seg 17408/119153  1051s  ETA 102 min
seg 17920/119153  1083s  ETA 102 min
seg 18432/119153  1116s  ETA 102 min
seg 18944/119153  1148s  ETA 101 min
seg 19456/119153  1180s  ETA 101 min
seg 19968/119153  1213s  ETA 100 min
seg 20480/119153  1246s  ETA 100 min
seg 20992/119153  1279s  ETA 100 min
seg 21504/119153  1312s  ETA 99 min
seg 22016/119153  1345s  ETA 99 min
seg 22528/119153  1380s  ETA 99 min
seg 23040/119153  1414s  ETA 98 min
seg 23552/119153  1449s  ETA 98 min
seg 24064/119153  1483s  ETA 98 min
seg 24576/119153  1515s  ETA 97 min
seg 25088/119153  1547s  ETA 97 min
seg 25600/119153  1579s  ETA 96 min
seg 26112/119153  1611s  ETA 96 min
seg 26624/119153  1643s  ETA 95 min
seg 27136/119153  1675s  ETA 95 min
seg 27648/119153  1708s  ETA 94 min
seg 28160/119153  1741s  ETA 94 min
seg 28672/119153  1775s  ETA 93 min
seg 29184/119153  1808s  ETA 93 min
seg 29696/119153  1840s  ETA 92 min
seg 30208/119153  1872s  ETA 92 min
seg 30720/119153  1904s  ETA 91 min
seg 31232/119153  1937s  ETA 91 min
seg 31744/119153  1971s  ETA 90 min
seg 32256/119153  2005s  ETA 90 min
seg 32768/119153  2039s  ETA 90 min
seg 33280/119153  2072s  ETA 89 min
seg 33792/119153  2104s  ETA 89 min
seg 34304/119153  2136s  ETA 88 min
seg 34816/119153  2177s  ETA 88 min
seg 35328/119153  2218s  ETA 88 min
seg 35840/119153  2260s  ETA 88 min
seg 36352/119153  2300s  ETA 87 min
seg 36864/119153  2341s  ETA 87 min
seg 37376/119153  2384s  ETA 87 min
seg 37888/119153  2426s  ETA 87 min
seg 38400/119153  2467s  ETA 86 min
seg 38912/119153  2509s  ETA 86 min
seg 39424/119153  2551s  ETA 86 min
seg 39936/119153  2592s  ETA 86 min
seg 40448/119153  2635s  ETA 85 min
seg 40960/119153  2677s  ETA 85 min
