# n=20 L=232792560 bpd=28
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 1
6 0 1
7 0 1
8 0 1
9 0 1
10 0 1
11 0 1
12 0 1
13 0 1
14 0 1
15 0 1
16 0 1
17 0 1
18 0 1
19 0 1
20 0 1
21 0 1
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 0 1
28 0 1
29 0 1
30 0 1
31 0 1
32 0 2
33 0 1
34 0 1
35 0 2
36 0 1
37 0 2
38 0 2
39 0 2
40 0 3
41 0 2
42 0 3
43 0 3
44 0 3
45 0 3
46 0 4
47 0 4
48 0 5
49 0 5
50 0 5
51 1 5
52 0 7
53 0 6
54 0 8
55 0 8
56 0 8
57 1 9
58 0 10
59 1 11
60 1 12
61 0 13
62 0 14
63 0 16
64 0 16
65 0 18
66 0 20
67 1 21
68 2 23
69 0 25
70 0 27
71 0 29
72 1 32
73 0 35
74 1 38
75 1 40
76 1 45
77 2 48
78 0 52
79 0 57
80 2 62
81 0 67
82 0 73
83 2 79
84 1 85
85 0 93
86 1 101
87 3 110
88 2 119
89 2 129
90 3 141
91 1 152
92 4 166
93 3 179
94 3 195
95 3 212
96 6 230
97 5 250
98 3 271
99 3 294
100 2 320
101 7 346
102 7 377
103 8 409
104 11 444
105 8 482
106 10 523
107 10 568
108 10 617
109 10 670
110 13 727
111 13 790
112 14 857
113 17 930
114 20 1011
115 19 1096
116 21 1191
117 22 1293
118 25 1404
119 26 1524
120 24 1655
121 34 1797
122 31 1951
123 37 2117
124 39 2300
125 43 2496
126 43 2711
127 54 2942
128 58 3195
129 58 3469
130 62 3766
131 78 4089
132 72 4440
133 82 4820
134 88 5233
135 93 5681
136 102 6169
137 113 6697
138 127 7271
139 132 7895
140 147 8571
141 161 9305
142 175 10104
143 188 10969
144 204 11910
145 215 12930
146 232 14038
147 266 15242
148 281 16548
149 310 17967
150 335 19507
151 350 21178
152 396 22994
153 425 24964
154 455 27105
155 499 29427
156 550 31949
157 582 34689
158 635 37661
159 691 40889
160 757 44394
161 814 48199
162 882 52330
163 967 56815
164 1026 61685
165 1121 66972
166 1228 72713
167 1325 78945
168 1440 85711
169 1552 93057
170 1686 101034
171 1824 109693
172 1978 119095
173 2135 129303
174 2320 140386
175 2516 152418
176 2713 165482
177 2934 179666
178 3175 195066
179 3446 211784
180 3701 229937
181 4014 249645
182 4341 271043
183 4668 294273
184 5046 319496
185 5450 346881
186 5853 376612
187 6319 408892
188 6801 443939
189 7289 481989
190 7857 523301
191 8411 568153
192 9056 616851
193 9668 669721
194 10348 727125
195 11070 789447
196 11795 857111
197 12571 930575
198 13374 1010336
199 14188 1096932
200 15041 1190953
201 15882 1293030
202 16734 1403857
203 17613 1524183
204 18443 1654822
205 19271 1796660
206 20054 1950653
207 20791 2117845
208 21451 2299369
209 22026 2496450
210 22504 2710424
211 22807 2942737
212 23008 3194962
213 23000 3468806
214 22799 3766121
215 22381 4088920
216 21744 4439386
217 20827 4819890
218 19685 5233009
219 18305 5681536
220 16678 6168506
221 14900 6697216
222 12941 7271242
223 10923 7894469
224 8881 8571111
225 6912 9305752
226 5109 10103358
227 3526 10969328
228 2237 11909521
229 1276 12930300
230 625 14038571
231 253 15241831
232 73 16548227
233 10 17966593
234 1 5207969
235 0 0
