l=4 singular series R4(g), K=22:
g=  1  R4=    0.31505  d2=[0.062499,0.062501]
g=  2  R4=    0.15752  d2=[0.031249,0.031251]
g=  3  R4=     1.2602  d2=[0.062500,0.062500]
g=  4  R4=   0.078762  d2=[0.015624,0.015626]
g=  5  R4=    0.75608  d2=[0.062500,0.062500]
g=  6  R4=    0.63009  d2=[0.031250,0.031250]
g=  7  R4=    0.31505  d2=[0.062499,0.062501]
g=  8  R4=     1.2996  d2=[0.257812,0.257813]
g=  9  R4=     1.2952  d2=[0.062499,0.062501]
g= 10  R4=    0.37804  d2=[0.031250,0.031250]
g= 11  R4=    0.42961  d2=[0.062500,0.062500]
g= 12  R4=    0.31504  d2=[0.015625,0.015625]
g= 13  R4=    0.40714  d2=[0.062500,0.062500]
g= 14  R4=    0.15752  d2=[0.031249,0.031251]
g= 15  R4=     3.0243  d2=[0.062499,0.062501]
g= 16  R4=       1.91  d2=[0.378905,0.378907]
g= 17  R4=    0.31505  d2=[0.062499,0.062501]
g= 18  R4=    0.64759  d2=[0.031249,0.031251]
g= 19  R4=    0.37308  d2=[0.062500,0.062500]
g= 20  R4=    0.18902  d2=[0.015625,0.015625]
g= 21  R4=     1.2602  d2=[0.062500,0.062500]
g= 22  R4=    0.21481  d2=[0.031250,0.031250]
g= 23  R4=    0.31505  d2=[0.062499,0.062501]
g= 24  R4=     5.1982  d2=[0.257812,0.257812]
g= 25  R4=     0.7687  d2=[0.062499,0.062501]
g= 26  R4=    0.20357  d2=[0.031250,0.031250]

gap-scaling checks (theorem: R(u g)=R(g), u good-prime product):
