hero render S = 8192
geom n 3 len 3.0
geom n 4 len 3.863703305156273
geom n 5 len 4.574329190217505
geom n 6 len 4.999999999999999
geom n 7 len 5.206604869410698
geom n 8 len 5.357568053111257
geom n 9 len 5.472322293210699
geom n 10 len 5.562305898749053
geom n 11 len 5.634651136828594
geom n 12 len 5.694018992255456
geom n 13 len 5.743575942901385
geom n 14 len 5.7855442828641745
geom n 15 len 5.8215273428972605
geom n 16 len 5.852709660483847
geom n 17 len 5.879984570130251
geom n 18 len 5.904038040675632
geom n 19 len 5.9254052501064205
geom n 20 len 5.944509671528773
geom n 21 len 5.961690647046978
geom n 22 len 5.977223207477976
geom n 23 len 5.99133256023485
geom n 24 len 6.004204842122372
geom n 25 len 6.015995211086604
geom n 26 len 6.026834012766153
geom n 27 len 6.036831534511972
geom n 28 len 6.046081709578624
geom n 29 len 6.054665031740739
geom n 30 len 6.0626508695239005
geom n 31 len 6.07009931924593
geom n 32 len 6.077062700432758
geom n 33 len 6.08358677146769
geom n 34 len 6.089711724577931
geom n 35 len 6.095473005433478
geom n 36 len 6.1009019923360714
geom n 37 len 6.106026562236662
geom n 38 len 6.110871564952592
geom n 39 len 6.115459222471166
geom n 40 len 6.119809466771906
saved hero_final.png
