n=7  SUM=1522957521863186  DEN=2^49
mu_7 = 761478760931593 / 2^48  =  2.705316010
maxT = 11  (2n-3 = 11)  witness rows: 55 95 103 107 121 124 126
T distribution (weighted counts / 2^49):
  T= 1  3731568663068   (6.628598e-03)
  T= 2  237836270456646   (4.224821e-01)
  T= 3  254140447975806   (4.514441e-01)
  T= 4  56091923563872   (9.963927e-02)
  T= 5  10233337301040   (1.817806e-02)
  T= 6  822006013920   (1.460176e-03)
  T= 7  89890399200   (1.596774e-04)
  T= 8  4172990640   (7.412720e-06)
  T= 9  326380320   (5.797679e-07)
  T=10  9072000   (1.611511e-08)
  T=11  604800   (1.074341e-09)
