window sieve self-test OK
bracket [25468750,26875000] ; sieving window [22468750,53875000)
first tie N=26855026; first non-planar lead N=26855313; lead changes in window: 11; last N with planar strictly ahead (in window): 26855491; D at window end -1103729
planar-lead excursions after first crossing: 27 longest (26855357, 26855395, 5)
  checkpoint N=54,868,355 D=-1,152,773 (24s)
  checkpoint N=55,905,850 D=-1,204,554 (24s)
  checkpoint N=56,989,948 D=-1,258,854 (24s)
  checkpoint N=58,122,916 D=-1,316,906 (24s)
  checkpoint N=59,308,131 D=-1,377,749 (24s)
  checkpoint N=60,548,105 D=-1,442,979 (24s)
  checkpoint N=61,846,786 D=-1,511,654 (24s)
  checkpoint N=63,207,274 D=-1,583,196 (24s)
  checkpoint N=64,632,150 D=-1,659,840 (24s)
  checkpoint N=66,126,006 D=-1,741,320 (24s)
  checkpoint N=67,693,194 D=-1,826,776 (24s)
  checkpoint N=69,337,292 D=-1,917,390 (24s)
  checkpoint N=71,062,943 D=-2,013,847 (24s)
  checkpoint N=72,875,405 D=-2,116,817 (24s)
  checkpoint N=74,780,540 D=-2,226,066 (25s)
  checkpoint N=76,783,999 D=-2,342,811 (25s)
  checkpoint N=78,892,528 D=-2,467,738 (25s)
  checkpoint N=81,113,492 D=-2,600,302 (25s)
  checkpoint N=83,453,763 D=-2,740,877 (25s)
  checkpoint N=85,920,552 D=-2,891,622 (25s)
  checkpoint N=88,523,011 D=-3,052,245 (25s)
  checkpoint N=91,270,031 D=-3,225,861 (25s)
  checkpoint N=94,173,305 D=-3,409,055 (25s)
  checkpoint N=97,241,454 D=-3,605,410 (25s)
  checkpoint N=100,486,323 D=-3,816,457 (25s)
  checkpoint N=103,921,134 D=-4,042,330 (25s)
  checkpoint N=107,559,231 D=-4,284,435 (25s)
  checkpoint N=111,415,222 D=-4,544,262 (25s)
  checkpoint N=115,505,057 D=-4,825,099 (25s)
  checkpoint N=119,847,646 D=-5,127,522 (25s)
  checkpoint N=124,462,415 D=-5,451,795 (25s)
  checkpoint N=129,369,030 D=-5,801,282 (25s)
  checkpoint N=134,590,183 D=-6,179,009 (25s)
  checkpoint N=140,151,291 D=-6,587,885 (25s)
  checkpoint N=146,080,387 D=-7,028,041 (26s)
  checkpoint N=152,405,623 D=-7,506,077 (26s)
  checkpoint N=159,161,092 D=-8,020,596 (26s)
  checkpoint N=166,379,628 D=-8,580,622 (26s)
  checkpoint N=174,102,187 D=-9,186,855 (26s)
  checkpoint N=182,370,356 D=-9,845,198 (26s)
  checkpoint N=191,231,034 D=-10,562,586 (26s)
  checkpoint N=200,737,361 D=-11,343,649 (26s)
  checkpoint N=210,946,645 D=-12,195,211 (26s)
  checkpoint N=221,922,334 D=-13,122,978 (26s)
  checkpoint N=233,733,014 D=-14,134,376 (26s)
  checkpoint N=246,453,952 D=-15,239,530 (26s)
  checkpoint N=260,169,529 D=-16,450,969 (26s)
  checkpoint N=274,975,401 D=-17,776,667 (27s)
  checkpoint N=290,974,401 D=-19,231,625 (27s)
  checkpoint N=308,282,863 D=-20,828,741 (27s)
  checkpoint N=327,028,729 D=-22,584,839 (27s)
  checkpoint N=347,355,084 D=-24,518,570 (27s)
  checkpoint N=369,421,797 D=-26,648,613 (27s)
  checkpoint N=393,405,548 D=-28,997,862 (27s)
  checkpoint N=419,503,623 D=-31,591,427 (27s)
  checkpoint N=447,935,907 D=-34,462,277 (27s)
  checkpoint N=478,951,956 D=-37,640,144 (27s)
  checkpoint N=512,828,085 D=-41,167,343 (28s)
  checkpoint N=549,878,693 D=-45,080,997 (28s)
  checkpoint N=590,451,590 D=-49,430,052 (28s)
  checkpoint N=634,938,636 D=-54,273,058 (28s)
  checkpoint N=683,784,388 D=-59,670,910 (28s)
  checkpoint N=737,488,207 D=-65,699,689 (28s)
  checkpoint N=796,617,927 D=-72,437,445 (29s)
  checkpoint N=861,811,627 D=-79,975,575 (29s)
  checkpoint N=933,789,644 D=-88,431,358 (29s)
  checkpoint N=1,013,377,866 D=-97,914,710 (29s)
  checkpoint N=1,101,501,105 D=-108,579,249 (30s)
  checkpoint N=1,199,222,429 D=-120,591,439 (30s)
  checkpoint N=1,307,754,724 D=-134,130,828 (30s)
  checkpoint N=1,428,472,469 D=-149,416,333 (31s)
  checkpoint N=1,562,947,168 D=-166,697,846 (31s)
  checkpoint N=1,712,975,229 D=-186,278,885 (31s)
  checkpoint N=1,880,626,225 D=-208,486,361 (32s)
  checkpoint N=2,068,263,949 D=-233,718,891 (32s)
  checkpoint N=2,278,610,950 D=-262,424,006 (33s)
  checkpoint N=2,514,792,555 D=-295,138,969 (33s)
  checkpoint N=2,780,417,627 D=-332,482,379 (34s)
  checkpoint N=3,079,651,768 D=-375,188,762 (35s)
  checkpoint N=3,417,321,653 D=-424,084,081 (36s)
  checkpoint N=3,798,997,325 D=-480,164,295 (36s)
  checkpoint N=4,231,145,190 D=-544,612,468 (37s)
  checkpoint N=4,721,296,411 D=-618,775,231 (38s)
  checkpoint N=5,278,194,118 D=-704,279,768 (39s)
  checkpoint N=5,912,045,909 D=-803,009,899 (41s)
  checkpoint N=6,634,754,818 D=-917,208,126 (42s)
  checkpoint N=7,460,242,131 D=-1,049,565,147 (43s)
  checkpoint N=8,404,850,763 D=-1,203,168,825 (45s)
  checkpoint N=9,487,702,705 D=-1,381,793,333 (46s)
