[lorenz] harvested 4000 section points in 147s
[lorenz] candidate words: 55
  UPO LR         T=1.5587 resid=7.9e-14
  UPO LLR        T=2.3059 resid=6.7e-12
  UPO LRR        T=2.3059 resid=7.4e-14
  UPO LLLR       T=3.0236 resid=2.2e-12
  UPO LLRR       T=3.0843 resid=9.8e-12
  UPO LRRR       T=3.0236 resid=8.2e-12
  UPO LLLLR      T=3.7256 resid=1.5e-12
  UPO LLLRR      T=3.8203 resid=3.7e-11
  UPO LLRLR      T=3.8695 resid=2.6e-11
  UPO LLRRR      T=3.8203 resid=3.3e-12
  UPO LRLRR      T=3.8695 resid=1.8e-12
  UPO LRRRR      T=3.7256 resid=1.3e-13
  UPO LLLLLR     T=4.4178 resid=2.3e-13
